term,idf
ааа,3.506558
аба,4.60517
абак,4.60517
аббас,2.302585
аббревиатура,2.995732
абель,4.60517
абзац,2.65926
абитуриент,4.60517
абонентский,3.912023
абсолют,4.60517
абсолютно,2.813411
абсолютный,2.407946
абстрагирование,4.60517
абстрактный,2.813411
абстракция,2.813411
абсурд,4.60517
абсурдно,4.60517
абсурдность,4.60517
абсурдный,3.506558
абхазия,4.60517
ава,4.60517
авангард,4.60517
авансовый,4.60517
авансом,4.60517
авантюрист,4.60517
аварийный,3.912023
авария,3.218876
аватар,3.912023
авг,3.912023
август,2.207275
авдей,4.60517
авиабаза,4.60517
авиадвигатель,4.60517
авиадоставка,4.60517
авиакомпания,3.912023
авиакосмос,4.60517
авиапром,4.60517
авиард,4.60517
авиасалон,3.218876
авиационный,3.506558
авиация,3.218876
авионика,4.60517
ависм,4.60517
авить,2.813411
аврал,3.912023
аврамчук,4.60517
австралийский,4.60517
австралия,4.60517
австрия,3.912023
авто,2.040221
автобизнес,4.60517
автобиографический,4.60517
автобус,2.040221
автоваз,4.60517
автогенерация,4.60517
автодополнение,3.506558
автодром,4.60517
автозаполнение,3.912023
автозапчасть,4.60517
автоклав,4.60517
автокластеризация,4.60517
автоколебание,4.60517
автоком,4.60517
автокомплитой,3.218876
автомат,3.912023
автоматизация,1.108663
автоматизированный,1.966113
автоматизировать,1.560648
автоматизм,4.60517
автоматика,4.60517
автоматически,1.89712
автоматический,1.660731
автомобилестроение,3.912023
автомобилист,3.912023
автомобиль,1.714798
автомобильный,2.040221
автономия,4.60517
автономно,2.813411
автономность,2.813411
автономный,1.771957
автопилот,2.407946
автопробег,4.60517
автопроизводитель,4.60517
автопролонгация,4.60517
автор,0.150823
авторизация,2.995732
авторизовать,4.60517
авторизоваться,3.912023
авторитет,3.912023
авторский,1.386294
авторство,4.60517
автосейв,4.60517
автосохранение,4.60517
автоспорт,4.60517
автострахование,4.60517
автотест,2.995732
автотранспорт,4.60517
автотранспортный,4.60517
автоустановка,4.60517
агент,0.776529
агентной,3.912023
агентном,3.218876
агентность,4.60517
агентный,2.040221
агентский,2.65926
агентство,2.040221
агиль,4.60517
агк,4.60517
агломерация,4.60517
аграрный,3.912023
агрегатор,4.60517
агрегированный,4.60517
агрегировать,4.60517
агрегироваться,4.60517
агрессивно,4.60517
агрессивный,3.506558
агрессия,3.218876
агропром,4.60517
агропромышленный,3.912023
ад,3.506558
адалта,4.60517
адам,3.912023
адаптация,2.525729
адаптер,3.218876
адаптивность,2.995732
адаптировать,1.89712
адаптироваться,1.966113
