term,doc,tf
ааа,15,0.000545
ааа,85,0.000562
ааа,93,0.000758
аба,76,0.001638
абак,76,0.000546
аббас,59,0.001028
аббас,60,0.000949
аббас,62,0.000898
аббас,63,0.000494
аббас,64,0.001024
аббас,65,0.001214
аббас,68,0.000924
аббас,69,0.000307
аббас,70,0.000787
аббас,73,0.000731
аббревиатура,1,0.000558
аббревиатура,16,0.000311
аббревиатура,18,0.000607
аббревиатура,24,0.00057
аббревиатура,57,0.000536
абель,49,0.001479
абзац,16,0.000621
абзац,17,0.000804
абзац,26,0.000772
абзац,34,0.000559
абзац,91,0.000559
абзац,94,0.000876
абзац,97,0.000518
абитуриент,13,0.001443
абонентский,44,0.000626
абонентский,71,0.000317
абсолют,67,0.000228
абсолютно,19,0.000626
абсолютно,36,0.000455
абсолютно,5,0.000497
абсолютно,51,0.000462
абсолютно,86,0.000926
абсолютно,88,0.000215
абсолютный,1,0.000558
абсолютный,14,0.000563
абсолютный,17,0.000804
абсолютный,20,0.000574
абсолютный,23,0.000562
абсолютный,30,0.000592
абсолютный,5,0.000497
абсолютный,52,0.001509
абсолютный,88,0.000215
абстрагирование,84,0.000525
абстрактный,15,0.000545
абстрактный,16,0.000621
абстрактный,18,0.000607
абстрактный,20,0.000574
абстрактный,82,0.001196
абстрактный,84,0.000525
абстракция,11,0.001144
абстракция,13,0.000481
абстракция,15,0.000545
абстракция,16,0.000311
абстракция,32,0.001368
абстракция,86,0.000463
абсурд,36,0.001366
абсурдно,86,0.000463
абсурдность,36,0.000455
абсурдный,3,0.001229
абсурдный,6,0.00051
абсурдный,99,0.000898
абхазия,7,0.000608
ава,61,0.000244
авангард,67,0.000228
авансовый,93,0.002273
авансом,71,0.000317
авантюрист,88,0.000215
аварийный,43,0.000622
аварийный,65,0.001214
авария,40,0.000525
авария,53,0.000625
авария,82,0.000598
авария,86,0.000463
аватар,10,0.000955
аватар,5,0.000497
авг,27,0.000517
авг,87,0.000855
август,15,0.000545
август,21,0.000613
август,34,0.000559
август,50,0.001404
август,55,0.00058
август,63,0.001482
август,64,0.004094
август,69,0.005527
август,78,0.001351
август,87,0.000428
август,95,0.000635
авдей,13,0.000481
авиабаза,64,0.001024
авиадвигатель,35,0.001087
авиадоставка,61,0.000244
авиакомпания,35,0.002174
авиакомпания,76,0.001092
авиакосмос,9,0.000564
авиапром,35,0.001087
авиард,6,0.00051
авиасалон,1,0.000558
авиасалон,35,0.001087
авиасалон,49,0.000493
авиасалон,6,0.00051
авиационный,35,0.001087
авиационный,36,0.000911
авиационный,95,0.000635
авиация,35,0.002174
авиация,64,0.001024
авиация,68,0.000924
авиация,95,0.000635
авионика,35,0.003261
ависм,76,0.000546
авить,14,0.000563
авить,34,0.000559
авить,46,0.000592
авить,53,0.000625
авить,76,0.000546
авить,80,0.000579
аврал,14,0.000563
аврал,80,0.000579
аврамчук,34,0.000559
австралийский,6,0.00051
австралия,63,0.000494
австрия,29,0.000627
австрия,93,0.000758
авто,24,0.00057
авто,33,0.000533
авто,59,0.001028
авто,6,0.00051
авто,60,0.000949
авто,61,0.001463
авто,62,0.000898
авто,63,0.000494
авто,64,0.001024
авто,65,0.001214
авто,68,0.000924
авто,69,0.000307
авто,70,0.000787
автобизнес,61,0.000488
автобиографический,49,0.000493
автобус,36,0.001821
автобус,56,0.000528
автобус,59,0.001028
автобус,6,0.00102
автобус,60,0.000949
автобус,62,0.000898
автобус,63,0.000494
автобус,64,0.001024
автобус,65,0.001214
автобус,68,0.000924
автобус,69,0.000921
автобус,70,0.000787
автобус,73,0.000731
автоваз,61,0.000244
автогенерация,98,0.000883
автодополнение,20,0.001149
автодополнение,38,0.001237
автодополнение,56,0.001057
автодром,67,0.000228
автозаполнение,79,0.001021
автозаполнение,96,0.0013
автозапчасть,61,0.000244
автоклав,35,0.001087
автокластеризация,16,0.000311
автоколебание,88,0.000429
автоком,61,0.000488
автокомплитой,1,0.000558
автокомплитой,27,0.000517
автокомплитой,33,0.000533
автокомплитой,57,0.000536
автомат,15,0.000545
автомат,40,0.000525
автоматизация,1,0.000558
автоматизация,10,0.000955
автоматизация,11,0.001144
автоматизация,13,0.000481
автоматизация,16,0.000932
автоматизация,19,0.000626
автоматизация,2,0.001174
автоматизация,20,0.000574
автоматизация,22,0.001085
автоматизация,23,0.001124
автоматизация,24,0.001709
автоматизация,25,0.001224
автоматизация,26,0.000772
автоматизация,27,0.000517
автоматизация,28,0.002035
автоматизация,30,0.000592
автоматизация,31,0.001108
автоматизация,33,0.000533
автоматизация,4,0.00288
автоматизация,40,0.000525
автоматизация,44,0.000626
автоматизация,46,0.000592
автоматизация,48,0.002983
автоматизация,54,0.001088
автоматизация,56,0.00317
автоматизация,57,0.001073
автоматизация,61,0.000244
автоматизация,72,0.002833
автоматизация,80,0.000579
автоматизация,87,0.000855
автоматизация,9,0.001691
автоматизация,91,0.001119
автоматизация,99,0.000898
автоматизированный,100,0.00184
автоматизированный,19,0.000626
автоматизированный,30,0.001183
автоматизированный,37,0.000389
автоматизированный,4,0.001152
автоматизированный,44,0.001252
автоматизированный,47,0.001712
автоматизированный,5,0.000994
автоматизированный,54,0.000544
автоматизированный,56,0.001057
автоматизированный,72,0.000405
автоматизированный,75,0.001244
автоматизированный,8,0.000487
автоматизированный,87,0.000855
автоматизировать,11,0.002288
автоматизировать,16,0.000932
автоматизировать,19,0.000626
автоматизировать,2,0.000587
автоматизировать,22,0.000542
автоматизировать,24,0.00057
автоматизировать,26,0.000772
автоматизировать,27,0.000517
автоматизировать,33,0.000533
автоматизировать,40,0.000525
автоматизировать,46,0.000592
автоматизировать,48,0.000746
автоматизировать,5,0.000497
